TEAM_ABBREVIATION,PLAYER_NAME,GP,AST,POTENTIAL_AST,AST_CONVERSION_RATE,TOTAL_pAST
DET,Marcus Sasser,57,2.3,4.4,0.523,250.8
DEN,Christian Braun,79,2.6,4.3,0.605,339.7
POR,Toumani Camara,78,2.2,4.3,0.512,335.4
DET,Jalen Duren,78,2.7,4.3,0.628,335.4
MEM,Santi Aldama,65,2.9,4.2,0.69,273.0
PHX,Grayson Allen,64,2.1,4.2,0.5,268.8
MIA,Duncan Robinson,74,2.4,4.2,0.571,310.8
OKC,Alex Caruso,54,2.5,4.1,0.61,221.39999999999998
BKN,Jalen Wilson,79,1.8,4.1,0.439,323.9
TOR,Jonathan Mogbo,63,2.3,4.1,0.561,258.29999999999995
WAS,Alex Sarr,67,2.4,4.0,0.6,268.0
PHX,Royce O'Neale,75,2.2,4.0,0.55,300.0
CHI,Kevin Huerter,69,2.3,3.9,0.59,269.09999999999997
LAC,Ivica Zubac,80,2.7,3.9,0.692,312.0
BKN,Tyrese Martin,60,2.0,3.9,0.513,234.0
MEM,Jaren Jackson Jr.,74,2.0,3.9,0.513,288.59999999999997
PHX,Cody Martin,53,2.0,3.9,0.513,206.7
DAL,P.J. Washington,57,2.3,3.8,0.605,216.6
NYK,Cameron Payne,72,2.8,3.8,0.737,273.59999999999997
SAS,Jeremy Sochan,54,2.4,3.8,0.632,205.2
SAC,Jake LaRavia,66,2.4,3.7,0.649,244.20000000000002
BOS,Al Horford,60,2.1,3.7,0.568,222.0
ATL,Onyeka Okongwu,74,2.3,3.6,0.639,266.40000000000003
DET,Tobias Harris,73,2.2,3.6,0.611,262.8
DAL,Klay Thompson,72,2.0,3.6,0.556,259.2
CHA,Josh Green,68,1.6,3.6,0.444,244.8
MIN,Naz Reid,80,2.3,3.5,0.657,280.0
IND,Bennedict Mathurin,72,1.9,3.5,0.543,252.0
NYK,OG Anunoby,74,2.2,3.5,0.629,259.0
LAC,Norman Powell,60,2.1,3.5,0.6,210.0
BKN,Nic Claxton,70,2.2,3.4,0.647,238.0
PHI,Kelly Oubre Jr.,60,1.8,3.4,0.529,204.0
MEM,Kentavious Caldwell-Pope,77,1.8,3.4,0.529,261.8
MIN,Jaden McDaniels,82,2.0,3.4,0.588,278.8
GSW,Buddy Hield,82,1.6,3.4,0.471,278.8
PHI,Guerschon Yabusele,70,2.1,3.4,0.618,238.0
TOR,Ochai Agbaji,64,1.5,3.3,0.455,211.2
CHI,Patrick Williams,63,2.0,3.3,0.606,207.89999999999998
MIL,Taurean Prince,80,1.9,3.3,0.576,264.0
GSW,Trayce Jackson-Davis,62,1.7,3.3,0.515,204.6
UTA,Kyle Filipowski,72,1.9,3.2,0.594,230.4
SAC,Jonas Valančiūnas,81,2.0,3.2,0.625,259.2
CLE,Jarrett Allen,82,1.9,3.2,0.594,262.40000000000003
